,Batch,Cell,Cell_line,Fullname,Place,Platform,Protocol,Protocol2,Read_type,Well,repeat
ERR1901889,SMARTer,60,ESC,SMARTer_60,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901888,SMARTer,59,ESC,SMARTer_59,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901887,SMARTer,58,ESC,SMARTer_58,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901891,SMARTer,62,ESC,SMARTer_62,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901890,SMARTer,61,ESC,SMARTer_61,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901892,SMARTer,63,ESC,SMARTer_63,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901893,SMARTer,64,ESC,SMARTer_64,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901895,SMARTer,66,ESC,SMARTer_66,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901896,SMARTer,67,ESC,SMARTer_67,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901894,SMARTer,65,ESC,SMARTer_65,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901897,SMARTer,68,ESC,SMARTer_68,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901898,SMARTer,69,ESC,SMARTer_69,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901900,SMARTer,71,ESC,SMARTer_71,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901899,SMARTer,70,ESC,SMARTer_70,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901901,SMARTer,72,ESC,SMARTer_72,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901902,SMARTer,73,ESC,SMARTer_73,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901903,SMARTer,74,ESC,SMARTer_74,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901904,SMARTer,75,ESC,SMARTer_75,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901905,SMARTer,76,ESC,SMARTer_76,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901907,SMARTer,78,ESC,SMARTer_78,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901906,SMARTer,77,ESC,SMARTer_77,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901908,SMARTer,79,ESC,SMARTer_79,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901909,SMARTer,80,ESC,SMARTer_80,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901910,SMARTer,81,ESC,SMARTer_81,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901912,SMARTer,83,ESC,SMARTer_83,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901914,SMARTer,85,ESC,SMARTer_85,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901911,SMARTer,82,ESC,SMARTer_82,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901913,SMARTer,84,ESC,SMARTer_84,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901915,SMARTer,86,ESC,SMARTer_86,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901916,SMARTer,87,ESC,SMARTer_87,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901917,SMARTer,88,ESC,SMARTer_88,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901918,SMARTer,89,ESC,SMARTer_89,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901921,SMARTer,92,ESC,SMARTer_92,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901919,SMARTer,90,ESC,SMARTer_90,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901922,SMARTer,93,ESC,SMARTer_93,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901920,SMARTer,91,ESC,SMARTer_91,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1901923,SMARTer,94,ESC,SMARTer_94,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1903881,Smart-Seq2 rep1,1,ESC,Smart-Seq2 rep1_1,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1901924,SMARTer,95,ESC,SMARTer_95,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1903882,Smart-Seq2 rep1,2,ESC,Smart-Seq2 rep1_2,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1901925,SMARTer,96,ESC,SMARTer_96,UK,HiSeq-2000,SMARTer,HiSeq-2000 SMARTer,PE,UNK,SMARTer
ERR1903884,Smart-Seq2 rep1,4,ESC,Smart-Seq2 rep1_4,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903885,Smart-Seq2 rep1,5,ESC,Smart-Seq2 rep1_5,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903883,Smart-Seq2 rep1,3,ESC,Smart-Seq2 rep1_3,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903886,Smart-Seq2 rep1,6,ESC,Smart-Seq2 rep1_6,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903887,Smart-Seq2 rep1,7,ESC,Smart-Seq2 rep1_7,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903888,Smart-Seq2 rep1,8,ESC,Smart-Seq2 rep1_8,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903890,Smart-Seq2 rep1,10,ESC,Smart-Seq2 rep1_10,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903889,Smart-Seq2 rep1,9,ESC,Smart-Seq2 rep1_9,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903891,Smart-Seq2 rep1,11,ESC,Smart-Seq2 rep1_11,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903892,Smart-Seq2 rep1,12,ESC,Smart-Seq2 rep1_12,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903893,Smart-Seq2 rep1,13,ESC,Smart-Seq2 rep1_13,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903894,Smart-Seq2 rep1,14,ESC,Smart-Seq2 rep1_14,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903895,Smart-Seq2 rep1,15,ESC,Smart-Seq2 rep1_15,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903896,Smart-Seq2 rep1,16,ESC,Smart-Seq2 rep1_16,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903898,Smart-Seq2 rep1,18,ESC,Smart-Seq2 rep1_18,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903897,Smart-Seq2 rep1,17,ESC,Smart-Seq2 rep1_17,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903899,Smart-Seq2 rep1,19,ESC,Smart-Seq2 rep1_19,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903902,Smart-Seq2 rep1,22,ESC,Smart-Seq2 rep1_22,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903900,Smart-Seq2 rep1,20,ESC,Smart-Seq2 rep1_20,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903901,Smart-Seq2 rep1,21,ESC,Smart-Seq2 rep1_21,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903903,Smart-Seq2 rep1,23,ESC,Smart-Seq2 rep1_23,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903904,Smart-Seq2 rep1,24,ESC,Smart-Seq2 rep1_24,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903911,Smart-Seq2 rep1,31,ESC,Smart-Seq2 rep1_31,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903910,Smart-Seq2 rep1,30,ESC,Smart-Seq2 rep1_30,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903905,Smart-Seq2 rep1,25,ESC,Smart-Seq2 rep1_25,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903909,Smart-Seq2 rep1,29,ESC,Smart-Seq2 rep1_29,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903908,Smart-Seq2 rep1,28,ESC,Smart-Seq2 rep1_28,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903913,Smart-Seq2 rep1,33,ESC,Smart-Seq2 rep1_33,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903907,Smart-Seq2 rep1,27,ESC,Smart-Seq2 rep1_27,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903906,Smart-Seq2 rep1,26,ESC,Smart-Seq2 rep1_26,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903919,Smart-Seq2 rep1,39,ESC,Smart-Seq2 rep1_39,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903917,Smart-Seq2 rep1,37,ESC,Smart-Seq2 rep1_37,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903915,Smart-Seq2 rep1,35,ESC,Smart-Seq2 rep1_35,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903914,Smart-Seq2 rep1,34,ESC,Smart-Seq2 rep1_34,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903916,Smart-Seq2 rep1,36,ESC,Smart-Seq2 rep1_36,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903918,Smart-Seq2 rep1,38,ESC,Smart-Seq2 rep1_38,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903923,Smart-Seq2 rep1,43,ESC,Smart-Seq2 rep1_43,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903924,Smart-Seq2 rep1,44,ESC,Smart-Seq2 rep1_44,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903920,Smart-Seq2 rep1,40,ESC,Smart-Seq2 rep1_40,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903925,Smart-Seq2 rep1,45,ESC,Smart-Seq2 rep1_45,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903921,Smart-Seq2 rep1,41,ESC,Smart-Seq2 rep1_41,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903912,Smart-Seq2 rep1,32,ESC,Smart-Seq2 rep1_32,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903928,Smart-Seq2 rep1,48,ESC,Smart-Seq2 rep1_48,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903929,Smart-Seq2 rep1,49,ESC,Smart-Seq2 rep1_49,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903922,Smart-Seq2 rep1,42,ESC,Smart-Seq2 rep1_42,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903935,Smart-Seq2 rep1,55,ESC,Smart-Seq2 rep1_55,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903937,Smart-Seq2 rep1,57,ESC,Smart-Seq2 rep1_57,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903932,Smart-Seq2 rep1,52,ESC,Smart-Seq2 rep1_52,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903930,Smart-Seq2 rep1,50,ESC,Smart-Seq2 rep1_50,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903927,Smart-Seq2 rep1,47,ESC,Smart-Seq2 rep1_47,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903931,Smart-Seq2 rep1,51,ESC,Smart-Seq2 rep1_51,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903939,Smart-Seq2 rep1,59,ESC,Smart-Seq2 rep1_59,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903938,Smart-Seq2 rep1,58,ESC,Smart-Seq2 rep1_58,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903933,Smart-Seq2 rep1,53,ESC,Smart-Seq2 rep1_53,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903936,Smart-Seq2 rep1,56,ESC,Smart-Seq2 rep1_56,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903941,Smart-Seq2 rep1,61,ESC,Smart-Seq2 rep1_61,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903940,Smart-Seq2 rep1,60,ESC,Smart-Seq2 rep1_60,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903934,Smart-Seq2 rep1,54,ESC,Smart-Seq2 rep1_54,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903942,Smart-Seq2 rep1,62,ESC,Smart-Seq2 rep1_62,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903926,Smart-Seq2 rep1,46,ESC,Smart-Seq2 rep1_46,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903943,Smart-Seq2 rep1,63,ESC,Smart-Seq2 rep1_63,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903946,Smart-Seq2 rep1,66,ESC,Smart-Seq2 rep1_66,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903945,Smart-Seq2 rep1,65,ESC,Smart-Seq2 rep1_65,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903944,Smart-Seq2 rep1,64,ESC,Smart-Seq2 rep1_64,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
